,Mar-2026,Feb-2026,Jan-2026,Dec-2025,Nov-2025,Oct-2025,Sep-2025,Aug-2025,Jul-2025,Jun-2025,May-2025,Apr-2025,Mar-2025,Feb-2025,Jan-2025,Dec-2024,Nov-2024,Oct-2024,Sep-2024,Aug-2024,Jul-2024,Jun-2024,May-2024,Apr-2024,Mar-2024,Feb-2024,Jan-2024,Dec-2023,Nov-2023,Oct-2023,Sep-2023,Aug-2023,Jul-2023,Jun-2023,May-2023,Apr-2023,Mar-2023,Feb-2023,Jan-2023,Dec-2022,Nov-2022,Oct-2022,Sep-2022,Aug-2022,Jul-2022,Jun-2022,May-2022,Apr-2022,Mar-2022,Feb-2022,Jan-2022
Home Loan EMI,"₹43,270","₹93,270","₹43,270","₹43,270","₹43,270","₹43,270","₹43,270","₹43,270","₹43,270","₹43,270","₹43,270","₹41,964","₹41,964","₹41,964","₹41,964","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650","₹76,950","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650","₹25,650",,,,,,,
Home LoanIns EMI,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹25,561",₹510,₹510,₹510,₹510,,,,,,,
"Credit Card 
(H,I,K)","₹36,409","₹36,409","₹44,801","₹60,511","₹37,286","₹111,640","₹67,937","₹66,786","₹41,721","₹41,956","₹52,199","₹77,405","₹65,148","₹44,220","₹58,594","₹62,671","₹100,626","₹155,624","₹69,900","₹104,339","₹16,932","₹22,579","₹23,774","₹42,236","₹227,866",₹0,₹0,"₹35,882","₹74,213","₹46,017","₹22,835","₹28,627","₹85,895","₹16,611","₹28,381","₹5,985","₹12,800","₹6,108","₹8,635","₹25,616","₹37,183","₹13,866","₹19,603","₹28,873",,,,,,,
Ola Postpaid,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹1,931","₹11,500",₹0,,,,,,,
Donations,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹882,₹0,"₹1,575",₹0,₹0,₹0,,,,,,,
Freelance Fees,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹2,500","₹4,000",,,,,,,
Youtube Subs,₹229,₹229,₹229,₹229,₹229,₹229,₹229,₹229,₹229,₹229,₹229,₹229,₹229,₹229,₹229,₹229,₹229,₹229,₹189,₹189,₹189,₹189,₹189,₹189,₹189,₹189,₹189,₹189,₹189,₹189,₹189,₹189,₹189,₹129,₹129,₹129,₹129,₹129,₹129,₹129,₹129,₹129,₹129,₹129,,,,,,,
Term Insurance,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹14,767",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹14,767",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹14,766",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,,,,,,,
Health Insurance,₹0,₹0,₹0,"₹42,954",₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹25,558",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,,,,,,,
Property tax,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹4,519",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹4,619",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹3,288",₹0,₹0,₹0,₹720,,,,,,,
House Rent,"₹18,000","₹18,000","₹18,000","₹18,000","₹18,000","₹18,000","₹17,500","₹17,500","₹17,500","₹17,500","₹17,500","₹17,500","₹17,500","₹17,500","₹17,500","₹17,500","₹17,500",₹0,₹0,₹0,₹0,₹0,₹0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹1,78,650",₹0,₹0,₹0,₹0,"₹61,710",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹85,770","₹2,500",₹0,₹0,₹0,₹0,"₹1,815",₹0,₹0,₹0,"₹11,500",₹120,,,,,,,
Bills,"₹98,790","₹1,48,790","₹1,07,182","₹1,65,846","₹99,667","₹1,74,021","₹1,29,818","₹1,28,667","₹1,03,602","₹1,03,837","₹1,14,080","₹1,78,305","₹1,25,723","₹1,04,795","₹1,19,169","₹2,85,582","₹1,44,887","₹1,82,385","₹96,621","₹1,31,060","₹1,09,882","₹49,300","₹65,262","₹68,957","₹2,54,587","₹78,021","₹26,721","₹62,603","₹1,00,934","₹72,738","₹54,175","₹55,348","₹1,98,386","₹60,538","₹55,042","₹32,646","₹39,461","₹32,769","₹37,111","₹80,244","₹65,047","₹42,086","₹71,392","₹60,002",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paid via Credit,"₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹1,678","₹1,678","₹1,678","₹1,678","₹1,678","₹1,678","₹1,678","₹1,678","₹3,265","₹1,678","₹1,678","₹1,678","₹1,678","₹2,060","₹2,019","₹1,678","₹1,678","₹3,059","₹3,527","₹12,432","₹2,053","₹2,000","₹11,182","₹1,678","₹1,678","₹2,289","₹1,504","₹1,178","₹3,269",,,,,,,
Shopping,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹8,500",₹0,,,,,"₹2,272",,,,,,,
Electricity,"₹1,396","₹1,396","₹1,396","₹1,396","₹1,396","₹1,396","₹1,396","₹1,396","₹1,396","₹1,396","₹1,396","₹1,396","₹1,396","₹1,396","₹1,396",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹1,587",₹0,₹0,₹0,₹0,₹382,₹341,₹0,₹0,₹662,"₹1,849",₹41,₹375,₹322,₹285,₹0,,₹392,₹326,₹0,₹178,,,,,,,
Internet,"₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178","₹1,178",₹0,,,,,,,
Mobile,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹719,₹0,₹719,₹0,₹0,₹719,₹0,,₹719,₹0,₹0,₹719,,,,,,,
DTH,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,₹500,,,,₹100,,,,,,,
TRAVEL,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹9,994",₹0,₹0,₹0,₹0,,,,,,,,,,,,
Learning,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,,,,,₹0,,,,,,,
Other,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,,,,,₹0,,,,,,,
Paid via Credit,"₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹3,074","₹1,678","₹1,678","₹1,678","₹1,678","₹1,678","₹1,678","₹1,678","₹1,678","₹3,265","₹1,678","₹1,678","₹1,678","₹1,678","₹2,060","₹2,019","₹1,678","₹1,678","₹3,059","₹3,527","₹12,432","₹2,053","₹2,000","₹11,182","₹1,678","₹1,678","₹2,289","₹1,504","₹1,178","₹3,269",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/c Bal@1st,"₹9,59,196","₹11,05,371","₹8,58,294","₹7,41,667","₹8,55,793","₹6,10,512","₹8,39,714","₹12,01,706","₹14,85,445","₹16,57,474","₹16,20,694","₹15,18,047","₹17,43,159","₹13,30,917","₹5,37,456","₹7,95,480","₹6,08,555","₹7,87,167","₹11,46,734","₹9,39,817","₹8,51,183","₹6,57,890","₹5,80,375","₹1,80,282","₹4,24,422","₹5,22,410","₹6,00,191","₹7,19,178","₹5,07,718","₹5,95,823","₹5,34,988","₹3,92,210","₹4,05,986","₹3,22,025","₹3,09,717","₹2,74,144","₹2,74,779","₹1,95,912","₹3,12,730","₹4,59,240","₹3,50,199","₹3,02,816","₹2,44,348","₹2,43,833",,,,,,,
HDFC,"₹7,15,814","₹8,51,327","₹4,84,724","₹3,48,241","₹6,96,819","₹4,70,052","₹6,65,364","₹9,08,989","₹11,82,529","₹13,75,684","₹12,48,819","₹11,25,999","₹13,52,626","₹11,13,988","₹2,71,418","₹6,12,616","₹3,15,769","₹3,88,539","₹6,58,124","₹6,20,620","₹5,73,236","₹3,95,365","₹3,14,490","₹10,736","₹1,41,608","₹2,66,720","₹3,54,706","₹4,29,160","₹2,08,223","₹3,14,049","₹2,41,550","₹1,69,606","₹1,65,738","₹1,76,079","₹2,29,407","₹49,807","₹50,486","₹48,301","₹29,145","₹29,962","₹57,163","₹50,677","₹31,050","₹1,52,255",,,,,,,
Axis,"₹35,592","₹1,24,645","₹1,65,865","₹91,740","₹30,960","₹34,871","₹44,597","₹54,763","₹75,815","₹65,613","₹1,56,613","₹1,60,680","₹1,61,157","₹4,108","₹51,136","₹59,654","₹1,61,953","₹1,66,913","₹2,57,819","₹87,524","₹45,392","₹30,582","₹33,060","₹35,839","₹50,000","₹46,741","₹36,242","₹41,819","₹47,058","₹28,455","₹50,896","₹49,180","₹65,942","₹20,834","₹4,316","₹48,436","₹65,800","₹48,598","₹22,135","₹88,165","₹28,171","₹12,243","₹7,016","₹28,206",,,,,,,
SBI,"₹46,561","₹96,561","₹96,561","₹1,56,788","₹96,887","₹96,887","₹1,10,050","₹2,10,932","₹2,11,814","₹2,11,268","₹2,12,150","₹2,18,555","₹2,18,555","₹1,59,673","₹1,60,555","₹1,09,400","₹1,12,282","₹1,13,164","₹1,13,274","₹1,14,156","₹1,15,038","₹1,15,136","₹1,16,018","₹1,16,900","₹1,17,000","₹1,17,329","₹1,17,623","₹1,17,710","₹1,18,592","₹1,19,474","₹1,19,547","₹1,20,429","₹1,21,311","₹72,333","₹73,215","₹88,122","₹59,929","₹1,545","₹13,689","₹1,00,303","₹69,853","₹54,403","₹8,836","₹8,926",,,,,,,
Kotak,"₹1,61,229","₹32,838","₹1,11,144","₹1,44,898","₹31,127","₹8,702","₹19,703","₹27,022","₹15,287","₹4,909","₹3,112","₹12,813","₹10,821","₹53,148","₹54,347","₹13,810","₹18,551","₹1,18,551","₹1,17,517","₹1,17,517","₹1,17,517","₹1,16,807","₹1,16,807","₹16,807","₹1,15,814","₹91,620","₹91,620","₹1,30,489","₹1,33,845","₹1,33,845","₹1,22,995","₹52,995","₹52,995","₹52,779","₹2,779","₹87,779","₹98,564","₹97,468","₹2,47,761","₹2,40,810","₹1,95,012","₹1,85,493","₹1,97,446","₹54,446",,,,,,,
Difference,"-₹146,175","₹2,47,077","₹1,16,627","-₹114,126","₹2,45,281","-₹229,202","-₹361,992","-₹283,739","-₹172,029","₹36,780","₹1,02,647","-₹225,112","₹4,12,242","₹7,93,461","-₹258,024","₹1,86,925","-₹178,612","-₹359,567","₹2,06,917","₹88,634","₹1,93,293","₹77,515","₹4,00,093","-₹244,140","-₹97,988",,,,,,,,,,,,,,,,,,,,,,,,,,
Deductions,"₹1,37,790","₹4,37,790","₹2,48,182","₹2,63,846","₹3,17,667","₹2,77,803","₹2,39,818","₹2,38,667","₹2,14,602","₹3,94,837","₹2,05,080","₹2,69,305","₹2,90,748","₹2,06,795","₹2,21,169","₹3,92,582","₹2,51,887","₹2,29,385","₹2,40,121","₹1,13,053","₹1,61,382","₹1,40,800","₹1,16,762","₹1,21,457","₹2,26,269","₹1,43,021","₹91,721","₹1,67,603","₹1,73,934","₹1,42,738","₹1,18,675","₹1,25,348","₹2,69,386","₹2,10,038","₹1,24,542","₹1,08,146","₹2,96,561","₹1,56,269","₹1,93,611","₹2,62,834","₹2,28,211","₹1,07,886","₹1,70,892","₹1,50,002",,,,,,,
Balance Af Exp,"₹1,45,082","-₹122,426","₹3,01,675","₹1,79,357","-₹186,319",₹596,"-₹211,419","-₹26,498","₹69,077","-₹176,158","₹1,64,616","-₹47,468","₹29,333","₹2,54,957","₹8,41,832","-₹202,273","₹5,115","-₹481,453","-₹232,189","₹1,34,879","₹1,34,550","₹1,07,132","₹1,31,170","-₹51,257","-₹176,269","₹71,477","₹1,95,088","-₹243,772","-₹102,258","₹7,279","-₹13,793","₹54,883","-₹31,751","-₹13,858","-₹1,000","-₹67,454","-₹144,534","₹18,083","-₹242,985","-₹41,651","-₹49,197","₹14,929","-₹54,526","-₹16,220",,,,,,,
Balance @A/c,"₹8,21,406","₹6,67,581","₹6,10,112","₹4,77,821","₹5,38,126","₹3,32,709","₹5,99,896","₹9,63,039","₹12,70,843","₹12,62,637","₹14,15,614","₹12,48,742","₹14,52,411","₹11,24,122","₹3,16,287","₹4,02,898","₹3,56,668","₹5,57,782","₹9,06,613","₹8,26,764","₹6,89,801","₹5,17,090","₹4,63,613","₹58,825","₹1,98,153","₹3,79,389","₹5,08,470","₹5,51,575","₹3,33,784","₹4,53,085","₹4,16,313","₹2,66,862","₹1,36,600","₹1,11,987","₹1,85,175","₹1,65,998","-₹21,782","₹39,643","₹1,19,119","₹1,96,406","₹1,21,988","₹1,94,930","₹73,456","₹93,831",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loan A/c @1,"₹43,65,305","₹44,33,056","₹44,87,692","₹45,13,519","₹44,84,629","₹45,58,983","₹45,51,084","₹46,59,342","₹46,53,583","₹46,44,683","₹46,80,576","₹46,94,120","₹47,13,228","₹46,99,812","₹47,19,444","₹26,95,887","₹27,39,672","₹27,99,801","₹27,19,825","₹27,59,311","₹26,76,912","₹26,88,188","₹26,94,308","₹27,18,314","₹29,08,788","₹27,38,257","₹27,42,619","₹27,82,829","₹28,26,130","₹28,02,190","₹27,83,915","₹27,93,892","₹28,55,306","₹28,05,596","₹28,06,677","₹27,87,387","₹27,99,852","₹27,99,485","₹28,06,533","₹28,54,288","₹28,72,146","₹28,56,349","₹28,79,012","₹28,84,011",,,,,,,
Home 404164633062,"₹23,53,603","₹24,15,781","₹24,26,195","₹24,36,312","₹24,30,647","₹24,30,647","₹24,66,451","₹25,75,860","₹25,84,726","₹25,75,591","₹26,01,241","₹25,89,579","₹26,15,229","₹26,22,741","₹26,27,999","₹26,33,216","₹26,39,046","₹26,44,177","₹26,49,925","₹26,54,972","₹26,59,980","₹26,65,609","₹26,70,534","₹26,76,078","₹26,80,922","₹27,38,257","₹27,42,619","₹27,46,947","₹27,51,917","₹27,56,173","₹27,61,080","₹27,65,265","₹27,69,411","₹27,74,219","₹27,78,296","₹27,81,402","₹27,87,052","₹27,93,377","₹27,97,898","₹28,02,757","₹28,08,681","₹28,13,911","₹28,20,895","₹28,27,757",,,,,,,
Sage 703634758,"₹19,13,497","₹19,18,711","₹19,50,795","₹19,50,795","₹19,50,795","₹19,50,795","₹19,50,795","₹19,50,795","₹19,61,235","₹19,61,235","₹19,61,235","₹19,61,235","₹19,66,950","₹19,66,950","₹19,66,950",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,,,,,,,
Sage Ins 695786969,"₹61,796","₹62,155","₹65,901","₹65,901","₹65,901","₹65,901","₹65,901","₹65,901","₹65,901","₹65,901","₹65,901","₹65,901","₹65,901","₹65,901","₹65,901",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,,,,,,,
Home inc 7663 (Closed),₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹25,915","₹26,282","₹26,641","₹27,014","₹27,381",,,,,,,
Credit Card Loan,"₹36,409","₹36,409","₹44,801","₹60,511","₹37,286","₹1,11,640","₹67,937","₹66,786","₹41,721","₹41,956","₹52,199","₹77,405","₹65,148","₹44,220","₹58,594","₹62,671","₹1,00,626","₹1,55,624","₹69,900","₹1,04,339","₹16,932","₹22,579","₹23,774","₹42,236","₹2,27,866",₹0,₹0,"₹35,882","₹74,213","₹46,017","₹22,835","₹28,627","₹85,895","₹31,377","₹28,381","₹5,985","₹12,800","₹6,108","₹8,635","₹25,616","₹37,183","₹15,797","₹31,103","₹28,873",,,,,,,
Interest Deducted,"-₹18,908","₹82,856","₹33,153","₹48,935","₹43,270","₹7,466","-₹66,139","₹34,404","₹52,405","₹17,620","₹54,932","₹16,314","₹34,452","₹36,706","₹36,747","₹19,820","₹20,519","₹19,902","₹20,603","₹20,642","₹20,021","₹20,725","₹20,106","₹20,806","-₹31,685","₹72,588","₹21,322","₹20,680","₹21,394","₹20,743","₹21,465","₹21,504","₹20,842","₹21,573","₹22,544",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Holding @1,"₹71,56,455","₹62,79,292","₹59,12,983","₹56,81,155","₹54,77,831","₹58,75,295","₹59,33,972","₹61,27,814","₹73,08,782","₹61,40,520","₹58,74,590","₹55,35,104","₹54,69,400","₹50,91,691","₹42,14,426","₹44,78,908","₹45,08,050","₹47,43,445","₹49,82,000","₹48,25,197","₹46,03,598","₹41,70,604","₹40,27,278","₹37,08,166","₹38,71,908","₹38,37,552","₹39,02,514","₹38,75,107","₹34,79,932","₹35,11,309","₹33,71,339","₹31,63,432","₹30,73,979","₹27,83,477","₹26,34,618","₹24,40,453","₹24,43,671","₹23,96,153","₹23,93,405","₹23,44,184","₹23,41,740","₹22,59,210","₹22,07,991","₹21,43,631",,,,,,,
A/c Balance,"₹9,59,196","₹11,05,371","₹8,58,294","₹7,41,667","₹8,55,793","₹6,10,512","₹8,39,714","₹12,01,706","₹14,85,445","₹16,57,474","₹16,20,694","₹15,18,047","₹17,43,159","₹13,30,917","₹5,37,456","₹7,95,480","₹6,08,555","₹7,87,167","₹11,46,734","₹9,39,817","₹8,51,183","₹6,57,890","₹5,80,375","₹1,80,282","₹4,24,422","₹5,22,410","₹6,00,191","₹7,19,178","₹5,07,718","₹5,95,823","₹5,34,988","₹3,92,210","₹4,05,986","₹3,22,025","₹3,09,717","₹2,74,144","₹2,74,779","₹1,95,912","₹3,12,730","₹4,59,240","₹3,50,199","₹3,02,816","₹2,44,348","₹2,43,833",,,,,,,
FDS,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹1,30,416","₹1,30,416","₹1,30,416","₹1,30,416","₹1,30,416","₹1,30,416","₹1,30,416","₹1,30,416","₹1,30,416","₹1,30,416","₹1,40,416","₹1,40,416","₹1,33,222","₹1,33,222","₹1,33,222","₹1,33,222","₹1,33,222","₹1,33,222","₹1,33,222","₹1,33,222","₹1,33,222","₹1,23,222","₹1,47,222","₹1,95,469","₹80,608","₹1,02,683","₹1,02,683",,,,,,,
RDS,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹1,50,000","₹1,50,000","₹1,40,000","₹1,30,000","₹1,65,000","₹1,55,000","₹1,40,000","₹1,25,000","₹1,10,000","₹95,000","₹80,000","₹65,000","₹50,000","₹35,000","₹20,000","₹5,000","₹18,291","₹18,291","₹1,26,636","₹1,25,136","₹1,13,636",,,,,,,
NPS T2,"₹5,44,154","₹5,33,154","₹5,33,154","₹5,33,154","₹5,33,154","₹5,33,154","₹5,33,154","₹5,33,154","₹5,33,154","₹5,33,154","₹5,11,831","₹4,89,360","₹4,52,730","₹4,65,780","₹4,64,211","₹4,63,369","₹4,44,821","₹4,54,278","₹4,38,653","₹4,23,949","₹4,01,707","₹3,74,120","₹3,59,499","₹3,46,139","₹3,35,675","₹3,15,303","₹3,02,742","₹2,84,260","₹2,65,252","₹2,52,402","₹2,42,919","₹2,28,368","₹2,12,143","₹2,01,885","₹1,90,032","₹1,77,760","₹1,67,617","₹1,59,197","₹1,50,911","₹1,01,231","₹60,828","₹60,702","₹41,000","₹1,000",,,,,,,
12%,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹1,50,000","₹1,50,000","₹2,50,000","₹2,50,000","₹2,50,000","₹2,50,000","₹2,50,000","₹2,50,000",,,,,,,
TradeCred,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹4,19,722","₹4,15,572","₹4,11,975","₹4,07,902","₹4,03,994","₹4,00,498","₹4,19,106","₹4,13,138","₹4,13,138","₹4,09,021","₹4,05,567","₹3,64,861","₹3,61,758","₹3,58,741","₹3,58,139","₹3,58,139","₹3,54,972","₹3,54,563","₹3,01,643","₹3,05,467","₹2,03,167","₹3,04,178","₹2,03,380","₹2,01,475","₹1,62,318","₹1,61,624","₹1,75,019","₹1,74,418",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPS T1,"₹3,50,598","₹3,50,598","₹3,50,598","₹3,50,598","₹3,50,598","₹3,50,598","₹3,50,598","₹3,50,598","₹3,50,598","₹3,50,598","₹3,36,374","₹3,20,137","₹2,97,129","₹3,05,633","₹3,02,085","₹3,04,048","₹2,93,104","₹3,00,996","₹2,88,600","₹2,78,391","₹2,63,224","₹2,44,253","₹2,34,977","₹2,26,175","₹2,19,106","₹2,05,047","₹1,97,265","₹1,80,599","₹1,66,744","₹1,63,365","₹1,56,237","₹1,51,598","₹1,42,039","₹1,32,520","₹1,23,253","₹1,13,918","₹1,07,141","₹1,03,193","₹99,751","₹96,869","₹89,383","₹88,565","₹83,565","₹78,565",,,,,,,
EPF,"₹9,08,468","₹8,85,918","₹8,63,368","₹8,40,818","₹8,18,268","₹7,95,718","₹7,75,218","₹7,34,218","₹7,13,718","₹6,93,218","₹6,72,718","₹6,52,218","₹6,31,718","₹6,11,218","₹5,90,718","₹5,70,218","₹5,49,718","₹4,30,097","₹4,26,497","₹4,22,897","₹4,19,297","₹4,15,697","₹4,12,097","₹4,08,497","₹4,08,497","₹4,08,497","₹4,00,858","₹3,86,058","₹3,71,258","₹3,66,411","₹3,58,661","₹3,50,911","₹3,43,161","₹3,35,411","₹3,27,661","₹3,19,911","₹3,12,161","₹3,04,411","₹2,96,661","₹2,88,911","₹2,81,161","₹2,73,411","₹2,65,661","₹2,57,911",,,,,,,
PPF,"₹1,40,692","₹1,40,692","₹1,40,692","₹1,40,692","₹1,40,692","₹1,40,692","₹1,40,692","₹1,40,692","₹1,15,692","₹1,15,692","₹1,03,192","₹90,692","₹78,192","₹65,692","₹53,192","₹40,692","₹28,192","₹15,692","₹3,192","₹3,192","₹3,192","₹3,192","₹3,192","₹3,192","₹2,047","₹2,047","₹2,047","₹2,047","₹2,047","₹2,047","₹2,047","₹2,047","₹2,047","₹2,000","₹2,000","₹1,000","₹1,000","₹1,000","₹1,000","₹1,000","₹1,000","₹1,000","₹1,000","₹1,000","₹1,000",,,,,,
