,Mar-2026,Feb-2026,Jan-2026,Dec-2025,Nov-2025,Oct-2025,Sep-2025,Aug-2025,Jul-2025,Jun-2025,May-2025,Apr-2025,Mar-2025,Feb-2025,Jan-2025,Dec-2024,Nov-2024,Oct-2024,Sep-2024,Aug-2024,Jul-2024,Jun-2024,May-2024,Apr-2024,Mar-2024,Feb-2024,Jan-2024,Dec-2023,Nov-2023,Oct-2023,Sep-2023,Aug-2023,Jul-2023,Jun-2023,May-2023,Apr-2023,Mar-2023,Feb-2023,Jan-2023,Dec-2022,Nov-2022,Oct-2022,Sep-2022,Aug-2022,Jul-2022,Jun-2022,May-2022,Apr-2022,Mar-2022,Feb-2022,Jan-2022
Freelance Income(Inc in Salary),₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹9,668","₹5,400",₹0,"₹22,453","₹19,350",₹0,"₹15,975","₹28,800","₹19,413","₹7,758","₹53,935","₹18,855","₹14,148","₹11,070",₹0,"₹13,500","₹10,660",₹0,₹0,₹0,₹0,₹0
12% Interest+refer,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹1,298","₹2,009","₹3,170","₹3,299","₹3,339","₹3,640","₹3,357","₹2,628",₹0,₹0,₹0,₹0,₹0,₹0,₹0
"Interest Earn + Redeem
(tradecred,mf,12%)",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹4,21,419",₹0,"₹31,129",₹0,₹0,"₹20,588","₹76,580",₹0,₹0,₹224,"₹2,595",₹0,₹0,"₹2,479","₹2,683",₹0,"₹18,856","₹22,772","₹5,911","₹1,51,772","₹1,02,652","₹1,02,068","₹6,240","₹71,403",₹0,"₹73,325",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0
fd Rd redeemed ,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹1,15,476","₹57,738",₹0,"₹57,162","₹1,30,416","₹1,30,416",₹0,₹0,₹0,₹0,₹0,"₹1,57,159",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹33,218","₹48,462","₹22,075",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0
Salary,"₹2,82,872","₹3,15,364","₹3,04,857","₹3,43,203","₹2,31,348","₹2,78,399","₹2,78,399","₹2,43,679","₹2,43,679","₹2,43,679","₹3,69,696","₹2,60,837","₹2,60,081","₹2,61,752","₹2,63,001","₹3,00,309","₹4,07,002","₹2,47,932","₹2,47,932","₹2,47,932","₹2,47,932","₹2,47,932","₹2,47,932","₹20,200",₹0,"₹1,64,498","₹2,43,809","₹2,23,831","₹71,676","₹1,50,017","₹1,13,265","₹1,40,231","₹1,62,635","₹1,46,180","₹1,23,542","₹1,40,692","₹1,52,027","₹1,84,352","₹1,50,626","₹2,21,183","₹1,61,856","₹1,57,191","₹1,54,148","₹1,58,782","₹1,56,610","₹1,53,797","₹1,43,838","₹2,21,858","₹1,34,160","₹90,132","₹1,37,207"
After Bills,"₹1,84,082","₹1,66,574","₹1,97,675","₹1,77,357","₹1,31,681","₹1,04,378","₹1,48,581","₹1,15,012","₹1,40,077","₹1,39,842","₹2,55,616","₹82,532","₹1,34,358","₹1,56,957","₹1,43,832","₹14,727","₹2,62,115","₹65,547","₹1,51,311","₹1,16,872","₹1,38,050","₹1,98,632","₹1,82,670","-₹48,757","-₹254,587","₹86,477","₹2,17,088","₹1,61,228","-₹29,258","₹77,279","₹59,090","₹84,883","-₹35,751","₹85,642","₹68,500","₹1,08,046","₹1,12,566","₹1,51,583","₹1,13,515","₹1,40,939","₹96,809","₹1,15,105","₹82,756","₹98,780",,,,,,,
Lending,₹0,₹0,"-₹245,000","-₹100,000","₹1,00,000",₹0,"₹2,50,000","₹31,510","-₹40,000","₹25,000",₹0,"₹39,000","-₹60,000","-₹200,000","-₹800,000","₹1,10,000","₹1,50,000","₹5,00,000","₹2,40,000",₹0,"-₹48,000",₹0,₹0,"-₹50,000","-₹50,000","-₹50,000","-₹43,000","₹3,00,000",₹0,₹0,"₹8,383","-₹40,000","-₹75,000","-₹50,000",₹0,"₹1,00,000",₹0,"₹10,000","₹2,00,000",₹0,"-₹17,158","₹34,376","₹37,782","₹25,000",,,,,,,
Available for month,"₹1,45,082","-₹122,426","₹3,01,675","₹1,79,357","-₹186,319",₹596,"-₹211,419","-₹26,498","₹69,077","-₹176,158","₹1,64,616","-₹47,468","₹1,44,809","₹3,12,695","₹8,41,832","-₹145,111","₹1,35,531","₹70,382","-₹232,189","₹1,66,008","₹1,34,550","₹1,07,132","₹1,51,758","₹1,82,482","-₹176,269","₹71,477","₹1,95,312","-₹241,177","-₹102,258","₹7,279","-₹11,314","₹57,566","-₹31,751","₹4,998","₹21,772","-₹61,543","₹8,536","₹1,22,744","-₹137,747","₹1,106","₹74,007","₹40,644","₹22,156","-₹13,592",,,,,,,
Surplus,"₹16,80,450","₹18,02,876","₹15,01,201","₹13,21,844","₹15,08,163","₹15,07,567","₹17,18,986","₹17,45,484","₹16,76,407","₹18,52,565","₹16,87,949","₹17,35,417","₹15,90,608","₹12,77,913","₹4,36,081","₹5,81,192","₹4,45,661","₹3,75,279","₹6,07,468","₹4,41,460","₹3,06,910","₹1,99,778","₹48,020","-₹134,462","₹41,807","-₹29,670","-₹224,982","₹16,195","₹1,18,453","₹1,11,174","₹1,22,488","₹64,922","₹96,673","₹91,675","₹69,903","₹1,31,446","₹1,22,910",₹166,"₹1,37,913","₹1,36,807","₹62,800","₹22,156",₹0,,,,,,,,
"Total Avl: 
Month + Surplus","₹18,25,532","₹16,80,450","₹18,02,876","₹15,01,201","₹13,21,844","₹15,08,163","₹15,07,567","₹17,18,986","₹17,45,484","₹16,76,407","₹18,52,565","₹16,87,949","₹17,35,417","₹15,90,608","₹12,77,913","₹4,36,081","₹5,81,192","₹4,45,661","₹3,75,279","₹6,07,468","₹4,41,460","₹3,06,910","₹1,99,778","₹48,020","-₹134,462","₹41,807","-₹29,670","-₹224,982","₹16,195","₹1,18,453","₹1,11,174","₹1,22,488","₹64,922","₹96,673","₹91,675","₹69,903","₹1,31,446","₹1,22,910",₹166,"₹1,37,913","₹1,36,807","₹62,800","₹22,156",₹0,,,,,,,
